"","open","high","low","close","volume","value"
"2021-09-08 09:00:00","56668000","57250000","53154000","55580000","12683.32987229","701590969807.58"
"2021-09-09 09:00:00","55576000","56567000","54701000","55900000","7540.98052835","418872318710.89"
"2021-09-10 09:00:00","55879000","56850000","54701000","55031000","10524.62607334","587118672586.73"
"2021-09-11 09:00:00","55031000","55400000","54316000","54800000","4246.7897401","233572715191.5"
"2021-09-12 09:00:00","54800000","55580000","54316000","55078000","4456.24751341","244803798485.11"
"2021-09-13 09:00:00","55078000","56663000","53600000","54274000","7678.99872171","419768907821.31"
"2021-09-14 09:00:00","54340000","56857000","54120000","56564000","5994.88062518","333704711921.34"
"2021-09-15 09:00:00","56564000","57600000","56011000","57207000","5204.48354612","295924748212.93"
"2021-09-16 09:00:00","57178000","57500000","56446000","57277000","5358.40400108","305839184427.87"
"2021-09-17 09:00:00","57277000","57836000","56942000","57642000","6908.81118369","397042475608.03"
"2021-09-18 09:00:00","57642000","58980000","57574000","58597000","4935.40608571","288291394889.25"
"2021-09-19 09:00:00","58597000","58805000","57466000","57976000","4821.3843762","279811883170.76"
"2021-09-20 09:00:00","58030000","58142000","53496000","53801000","10951.54124671","608008065738.95"
"2021-09-21 09:00:00","53801000","54400000","50211000","50699000","11491.19131035","602640099332.81"
"2021-09-22 09:00:00","50699000","54153000","50059000","53856000","8922.15765938","467187185035.53"
"2021-09-23 09:00:00","53853000","54656000","52571000","54410000","7737.69933454","415384854012.39"
"2021-09-24 09:00:00","54405000","54534000","50900000","52176000","11468.26484925","602952735214.02"
"2021-09-25 09:00:00","52176000","52452000","51056000","52326000","4371.92985367","226758630503.68"
"2021-09-26 09:00:00","52326000","53607000","50803000","52798000","5945.40902076","310948126899.37"
"2021-09-27 09:00:00","52798000","53800000","51747000","51834000","4963.31808383","262697515793.78"
"2021-09-28 09:00:00","51831000","52103000","50222000","50309000","6216.15486117","318673200792.99"
"2021-09-29 09:00:00","50309000","51799000","49924000","50800000","5199.8520123","265067157875.96"
"2021-09-30 09:00:00","50800000","53673000","50731000","53523000","6716.78034563","353760846438.23"
"2021-10-01 09:00:00","53523000","58582000","53070000","58348000","9344.90787537","526629015325.61"
"2021-10-02 09:00:00","58348000","58999000","57660000","58228000","4852.96858036","283012282143.46"
"2021-10-03 09:00:00","58238000","59390000","57250000","58567000","4489.39578954","262002063227.56"
